太阳病|太阳之为病，脉浮，头项强痛而恶寒。|胡希恕：太阳病提纲，以此判断表证。|第1条|3
太阳病|太阳病，发热汗出，恶风，脉缓者，名为中风。|胡希恕：中风是太阳病的一种类型，因汗出导致水分丧失而脉缓；病邪较伤寒深，在肌肉层次，故桂枝汤非发表而是解肌。|第2条|3
太阳病|太阳病，或已发热，或未发热，必恶寒，体痛，呕逆，脉阴阳俱紧者，名为伤寒。|胡希恕：伤寒特征是皮表不开、必恶寒且无汗；因气息不得旁达而上撞导致呕逆；由于无汗且充血严重，故脉紧且周身疼痛。|第3条|3
太阳病|太阳中风，阳浮而阴弱。阳浮者，热自发；阴弱者，汗自出。|胡希恕：阳浮指血管扩张充血而发热，阴弱指体液外泄而汗自出；“阴”指体液，因汗出导致内部体液不足。|第12条|3
太阳病|太阳病，头痛发热，汗出恶风，桂枝汤主之。|胡希恕：此为表虚证，宜桂枝汤调和营卫。|第13条|3
太阳病|病常自汗出者，此为荣气和。荣气和者，外不谐，以卫气不共荣气谐和故尔。以荣行脉中，卫行脉外，复发其汗，荣卫和则愈。|胡希恕：自汗出说明荣气（体液）本身没问题，是卫外机能不谐和导致无法固摄，仍需用桂枝汤复发其汗来调和营卫。|第53条|3
太阳病|病人藏无他病，时发热、自汗出而不愈者，此卫气不和也，先其时发汗则愈，宜桂枝汤。|胡希恕：此为表虚证，宜桂枝汤调和营卫。|第54条|3
太阳病|太阳病，项背强几几，反汗出恶风者，桂枝加葛根汤主之。（兼项背强几几证）|胡希恕：此为太阳中风兼有经输不利，因津液不能濡养筋脉导致项背强几几，故在桂枝汤基础上加葛根以解肌发表、生津舒筋。|第14条|3
太阳病|太阳病，下之微喘者，表未解故也，桂枝加厚朴杏子汤主之。（兼喘证）|胡希恕：因误下导致表邪内陷而喘，但表证未罢，故用桂枝汤解表，加厚朴、杏子平喘下气。|第43条|3
太阳病|喘家作，桂枝汤加厚朴、杏子佳。（兼喘证）|胡希恕：此为表虚证，宜桂枝汤调和营卫。|第18条|3
太阳病|太阳病，发汗，遂漏不止，其人恶风，小便难，四肢微急，难以屈伸者，桂枝加附子汤主之。（兼漏汗证）|胡希恕：发汗过头导致阳气暴脱、汗漏不止，因津液枯竭出现小便难、肢体拘急，须加附子以固阳敛汗。|第20条|3
太阳病|太阳病，下之后，脉促，胸满者，桂枝去芍药汤主之。（兼胸满证）|胡希恕：下后邪陷胸中导致胸满，脉促说明阳气欲伸，去芍药是因其酸敛不利于宣发胸中阳气。|第21条|3
太阳病|发汗后，身疼痛，脉沉迟者，桂枝加芍药生姜各一两人参三两新加汤主之。（汗后气营不足身痛证）|胡希恕：汗后气血津液受损，脉沉迟说明内虚，故加重芍药生姜并加人参，以补益气血、调和营卫并止痛。|第62条|3
太阳病|太阳病，头痛发热，身疼腰痛，骨节疼痛，恶风无汗er喘者，麻黄汤主之。|胡希恕：此为太阳伤寒典型的实证，毛窍闭塞导致呼吸不利而喘，须用麻黄汤强烈发汗以开表闭。|第35条|3
太阳病|太阳与阳明合病，喘而胸满者，不可下，宜麻黄汤。|胡希恕：虽然涉及阳明，但重点在于表邪未解导致的喘满，由于病位仍在表，禁下法，宜用麻黄汤宣肺发表。|第36条|3
太阳病|太阳病，项背强几几，无汗恶风（者），葛根汤主之。（兼经输不利）|胡希恕：此为太阳伤寒无汗而兼经输不利，葛根汤实为麻黄汤与葛根的合方，既发汗又疏通经脉。|第31条|3
太阳病|太阳与阳明合病者，必自下利，葛根汤主之。（兼下利）|胡希恕：表邪不解而内迫肠胃导致下利，这种下利非里实而是表邪所致，故用葛根汤解表止利。|第32条|3
太阳病|太阳中风，脉浮紧，发热恶寒，身疼痛，不汗出而烦躁者，大青龙汤主之。若脉微弱，汗出恶风者，不可服之，服之则厥逆，筋惕肉瞤，此为逆也。（兼阳郁内热）|胡希恕：此为外寒内热证，寒邪闭郁严重导致不汗出而心烦。因发汗力极强，若表虚自汗者误服，会重伤津阳导致厥逆抽搐。|第38条|3
太阳病|伤寒表不解，心下有水气，干呕，发热而咳，或渴，或利，或噎，或小便不利、少腹满，或喘者，小青龙汤主之。（兼水饮内停）|胡希恕：此为表证兼有心下水饮，水饮随气机升降产生各种症状，小青龙汤既解表又化饮。|第40条|3
太阳病|太阳病，发汗后，大汗出，胃中干，烦躁不得眠，欲得饮水者，少少与饮之，令胃气和则愈。若脉浮，小便不利，微热消渴者，五苓散主之。|胡希恕：汗后损伤津液导致胃干，若水停下焦出现小便不利且渴，是水精四布失常，宜用五苓散化气行水。|第71条|3
太阳病|中风发热，六七日不解而烦，有表里证，渴欲饮水，水入则吐者，名曰水逆，五苓散主之。|胡希恕：此为水停心下导致饮水即吐的“水逆”证，五苓散通过利尿导水下行，使胃气调和。|第74条|3
太阳病|太阳病不解，热结膀胱，其人如狂，血自下，下者愈。其外不解者，尚未可攻，当先解其外。外解已，但少腹急结者，乃可攻之，宜桃核承气汤。（蓄血证轻证）|胡希恕：此为太阳随经入里的蓄血证，热与血结导致如狂，必须先解表再攻里，用桃核承气汤活血化瘀、清热下血。|第106条|3
太阳病|太阳病六七日，表证仍在，脉微而沉，反不结胸，其人发狂者，以热在下焦，少腹当硬满。小便自利者，下血乃愈。所以然者，以太阳随经，瘀热在里故也，抵当汤主之。（蓄血证重症及与蓄水证的异同）|胡希恕：此为瘀血与热结于下焦的重症。其人发狂、少腹硬满而小便自利，说明病不在气分（非蓄水）而在血分。抵当汤药力猛悍，旨在破血逐瘀。|第124条|3
太阳病|太阳病三日，已发汗，若吐、若下、若温针，仍不解者，此为坏病，桂枝不中与之也。观其脉证，知犯何逆，随证治之。|胡希恕：此条是治疗“坏病”的总原则。经误治后病情复杂化，已不能简单用桂枝汤，需根据当前的脉象和症状，重新辨证施治。|第16（上）条|3
